timestamp,uid,campaign,conversion,conversion_timestamp,conversion_id,attribution,click,click_pos,click_nb,cost,cpo,time_since_last_click,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9
15,15504022,23254639,0,-1,-1,0,0,-1,-1,2.58663515834e-05,0.156885106752,-1,1973606,9312274,27872928,29196072,11409686,29196072,1846,29196072,29196072
16,3488285,10341182,0,-1,-1,0,1,-1,-1,0.00296268799725,0.0804984691139,-1,30763035,26597095,29310250,29196072,32440044,1973606,11989417,9068204,29196072
16,4066799,13661605,0,-1,-1,0,0,-1,-1,1e-05,0.258884542277,-1,9312274,29196072,32091550,29196072,5824237,28928366,9312274,29196072,29196072
16,29063987,15959625,0,-1,-1,0,0,-1,-1,2.05882353818e-05,0.207304554345,-1,138937,26597095,13369603,29196072,5824239,1973606,26286910,9312274,29196072
16,26614386,27009857,0,-1,-1,0,0,-1,-1,1e-05,0.158951978985,-1,5824233,9312274,31714194,29196072,32440044,1973606,9312274,32440044,29196072
16,14158457,1415896,0,-1,-1,0,0,-1,-1,0.000317647071446,0.190156982544,-1,25259032,9312274,15891250,29196072,11409686,29196072,15513380,29196072,29196072
17,15394453,9100693,1,154,24795488,1,1,0,1,0.00143530207453,0.00461747473233,583864,25259032,5824236,4223617,23549932,26611395,1973606,11974250,29196072,8661623
17,17270318,15073876,0,-1,-1,0,0,-1,-1,3.33385111951e-05,0.0541535016299,2252124,28928366,26597095,635743,23549932,32440044,28928366,12433253,29196072,18291872
17,10503340,497593,0,-1,-1,0,0,-1,-1,9.72335654147e-05,0.145217764464,-1,30763035,9312274,25668863,29196072,11409686,1973606,17849457,29841067,29196072
17,28081796,3406183,0,-1,-1,0,0,-1,-1,0.000198091987707,0.230356238197,400,138937,9312274,4494354,29196072,5824237,5824239,2223561,29196072,16022563
17,2110146,15184511,0,-1,-1,0,0,-1,-1,1e-05,0.116429164436,-1,9312274,29196072,8446659,29196072,5824235,30763035,9312274,29196072,29196072
17,9469126,3828354,0,-1,-1,0,0,-1,-1,0.000151286686168,0.00557871601782,-1,25259032,28928366,7422162,17152695,5824235,5824239,19162734,29196072,29196072
18,22396143,13365547,0,-1,-1,0,1,-1,-1,0.00230217396389,0.0375830169766,5838,30763035,26597094,31616034,29196072,11409684,1973606,15267441,26597096,21748264
19,25336188,27684173,0,-1,-1,0,0,-1,-1,0.000541904985118,0.146417112071,212671,30763035,26597095,3584377,29196072,11409686,1973606,7970001,9068204,21091108
19,24850810,10810197,0,-1,-1,0,1,-1,-1,0.000525840481807,0.144218185601,1807,30763035,9312274,8726213,29196072,11409684,1973606,12856719,20754144,32145478
20,14512383,9100689,0,-1,-1,0,0,-1,-1,0.000640888047344,0.00976112643423,120,25259032,5642940,22278128,23549932,11409685,1973606,2161697,32440044,22419790
21,24489443,32135670,0,-1,-1,0,0,-1,-1,2.05882353818e-05,0.43788688094,-1,30763035,26597095,25133256,29196072,32440044,1973606,9312274,32440044,29196072
21,7800539,13422843,0,-1,-1,0,1,-1,-1,2.74162258115e-05,0.259212140243,1773878,30763035,7477605,8327354,29196072,5824237,1973606,14355724,32440044,18291877
22,20870297,30810420,0,-1,-1,0,1,-1,-1,7.35294117647e-05,0.271378273858,-1,1973606,9312274,11658339,29196072,21611415,29196072,1753056,29196072,29196072
22,17086046,2946551,0,-1,-1,0,1,-1,-1,2.16273121997e-05,0.00820352965731,27567,30763035,26597095,10434635,29196072,11409684,29196072,25066554,29196072,9491351
22,17705550,17686799,0,-1,-1,0,0,-1,-1,7.83519870603e-05,0.267099976043,558302,30763035,9068207,9107790,29196072,32440044,29196072,25893729,29196072,8661623
22,2818470,27321366,0,-1,-1,0,0,-1,-1,6.1831231487e-05,0.174918634642,2879,30763035,9312274,10316544,29196072,5824241,26597096,5642940,29196072,32145483
23,31760590,17686799,0,-1,-1,0,0,-1,-1,5.88235302882e-05,0.109203202763,-1,28928366,9068207,4814486,29196072,32440044,29196072,13595073,29196072,29196072
24,889154,4869922,0,-1,-1,0,0,-1,-1,2.3458314613e-05,0.334646593133,223654,30763035,26597095,5488455,29196072,5824236,32440041,3044794,29196072,21091108
24,9368056,25064375,0,-1,-1,0,0,-1,-1,6.75203409337e-05,0.290836808334,94576,28928366,9312274,17584529,29196072,32440044,1973606,21006529,32440044,29520629
25,6013772,15184511,1,138469,15587012,0,1,1,6,0.0015850472431,0.0050247614932,536,25259032,28928366,10089519,15743247,5824235,32440044,32081193,29196072,6083952
25,19976714,13289562,0,-1,-1,0,1,-1,-1,4.16715311653e-05,0.327163100859,-1,27093701,9312274,23402719,23549932,5824237,29196072,30953859,29196072,29196072
26,19036874,29874688,0,-1,-1,0,0,-1,-1,7.0562007974e-05,0.220209386681,1752634,27093701,9312274,22865705,23549932,32440044,1973606,9312274,20754144,18291877
27,3497187,2576437,0,-1,-1,0,0,-1,-1,3.31969284115e-05,0.180589597668,2114913,30763035,7477605,8562388,29196072,32440044,29196072,4552620,29196072,18291872
27,4514180,2144729,0,-1,-1,0,0,-1,-1,0.000579513813366,0.0659029176282,122359,27093701,9068210,7099866,23549932,138937,29196072,29934587,29196072,29520626
27,19048794,3144706,0,-1,-1,0,0,-1,-1,1.47058825721e-05,0.485665776108,-1,138937,9312274,16513151,29196072,32440044,1973606,14541194,23998111,29196072
28,29006444,13422843,0,-1,-1,0,0,-1,-1,1e-05,0.277455532725,524867,138937,7477605,8327354,29196072,5824237,1973606,20160379,5824233,8661623
29,7009308,17686799,0,-1,-1,0,0,-1,-1,1.47058825721e-05,0.267099976043,-1,30763035,9068207,9107790,29196072,32440044,20754142,13595073,29196072,29196072
30,9451380,17321082,1,355909,4136014,0,1,1,3,0.000413085296452,0.32449202754,363648,28928366,5824237,13175372,29196072,5824237,30763035,7230114,29196072,21091111
31,30607637,24045148,0,-1,-1,0,0,-1,-1,8.80658363594e-05,0.240445879778,-1,30763035,26597095,18772151,29196072,32440044,32440053,9312274,29196072,29196072
31,14157349,5061834,0,-1,-1,0,0,-1,-1,0.000305882341722,0.303860289095,-1,138937,26597096,28944164,29196072,26611392,1973606,1973606,5824233,29196072
32,9344893,27684173,0,-1,-1,0,0,-1,-1,1e-05,0.365503232908,1345438,30763035,26597095,10727562,29196072,11409686,1973606,10739570,5824233,18291877
33,10351512,884761,0,-1,-1,0,1,-1,-1,2.35294112388e-05,0.0596001963727,-1,5642940,9312274,14584482,29196072,11409686,29196072,9312274,29196072,29196072
33,4355332,7289590,0,-1,-1,0,0,-1,-1,1.47058825721e-05,0.217104787597,-1,30763035,26597095,26945587,29196072,32440044,20754142,16839793,29196072,29196072
34,21575587,5061834,0,-1,-1,0,0,-1,-1,0.000600070041769,0.303860289095,-1,30763035,32440053,28944164,29196072,26611392,1973606,7477605,26597096,29196072
34,31553185,15654890,0,-1,-1,0,0,-1,-1,0.000477941176471,0.261532988509,-1,138937,9312274,29872901,29196072,5824239,1973606,4826521,26597096,29196072
34,4489751,17686799,0,-1,-1,0,0,-1,-1,0.000139427236837,0.109203202763,926057,30763035,9068207,4814486,29196072,32440044,5824235,17984135,29196072,8661620
34,26730406,7289590,0,-1,-1,0,0,-1,-1,0.000110294135178,0.184224739432,-1,5642940,26597095,24485251,29196072,32440044,1973606,9312274,9068204,29196072
35,12655947,24391301,0,-1,-1,0,0,-1,-1,0.000137426034296,0.198877656183,615122,138937,9312274,5749224,29196072,32440044,1973606,6735079,32440044,8661623
35,6214101,32452111,0,-1,-1,0,1,-1,-1,0.00032043005597,0.108224453216,110833,28928366,9312274,8181301,29196072,5824237,29196072,6288950,29196072,29520626
36,14372349,9810200,0,-1,-1,0,1,-1,-1,0.00205722288592,0.197894113957,26328,30763035,9312274,10726219,29196072,11409684,28928366,4276157,29196072,9491351
36,32131776,30491418,0,-1,-1,0,0,-1,-1,0.000386099110063,0.249824030794,121332,30763035,26597095,3564243,29196072,5824237,28928366,6179461,29196072,29520626
36,30448560,10341182,0,-1,-1,0,1,-1,-1,0.0007014707958,0.0588410415558,-1,27093701,26597095,477175,23549932,32440044,138937,11989417,29196072,29196072
37,30301620,6686701,0,-1,-1,0,0,-1,-1,7.50160034482e-05,0.226635764087,1910412,30763035,1973606,26206704,29196072,32440044,1973606,15013288,5824233,18291877
37,15687359,2576437,0,-1,-1,0,1,-1,-1,1e-05,0.180589597668,-1,5824233,7477605,8562388,29196072,32440044,1973606,6954913,32440044,29196072
38,20137042,2946551,0,-1,-1,0,1,-1,-1,1e-05,0.00820352965731,166848,30763035,26597095,10434635,29196072,11409684,1973606,25066554,23998111,21091108
38,1365740,27684173,0,-1,-1,0,0,-1,-1,3.59501470538e-05,0.365503232908,-1,30763035,26597095,10727562,29196072,11409686,26597096,12288920,29196072,29196072
39,4696034,16922675,0,-1,-1,0,0,-1,-1,1e-05,0.014979529738,1918324,25259032,9312274,7962938,29196072,3225253,32440041,7510064,29196072,18291877
39,16883564,25419531,0,-1,-1,0,1,-1,-1,0.000123199427429,0.308263078684,703256,28928366,9312274,7646979,29196072,32440044,29196072,17077854,29196072,8661623
41,1993927,18498193,0,-1,-1,0,0,-1,-1,0.000155972740146,0.232083946142,190147,138937,9312274,10839155,29196072,32440052,1973606,21280612,26597096,21091108
41,32231921,9100693,0,-1,-1,0,1,-1,-1,0.000183823529412,0.00461747473233,-1,25259032,32440047,4223617,29196072,26611395,29196072,9312274,29196072,29196072
41,2497574,2953716,0,-1,-1,0,0,-1,-1,1.92990592297e-05,0.10320602494,-1,138937,9312274,5423195,29196072,27611404,29196072,4887334,29196072,29196072
41,83645,13661605,0,-1,-1,0,0,-1,-1,0.000408171029651,0.188891810258,-1,30763035,9312274,11252915,29196072,5824237,1973606,22203375,32440044,29196072
41,3302392,12700454,0,-1,-1,0,0,-1,-1,1.46356706073e-05,0.193605846448,2347009,27093701,9312274,28322182,29196072,32440044,28928366,9312274,29196072,18291872
41,889049,14445192,0,-1,-1,0,0,-1,-1,1.52795608429e-05,0.208146791472,-1,28928366,9312274,31201451,23549932,5824237,30763035,21968306,29196072,29196072
41,18515385,9106407,0,-1,-1,0,1,-1,-1,0.000711842339027,0.0096125656719,130641,25259032,32440040,9708046,29196072,26611395,1973606,9312274,32440044,29520626
41,25042804,2865315,0,-1,-1,0,0,-1,-1,9.94768400405e-05,0.152313557363,188296,5824233,9312274,16374290,29196072,11409684,1973606,9451367,9068204,21091108
42,5236926,9100691,0,-1,-1,0,0,-1,-1,0.000229206268808,0.00716494520484,239,28928366,32440040,1223623,29196072,26611395,1973606,30678301,29196072,16022558
42,7876415,30491418,0,-1,-1,0,1,-1,-1,0.000155198100735,0.262998824564,-1,28928366,26597095,3564244,23549932,5824237,1973606,6179461,32440044,29196072
42,26827439,27323540,0,-1,-1,0,0,-1,-1,1.42571698862e-05,0.0839319896977,372316,30763035,9312274,6500397,29196072,26611393,28928366,9312274,29196072,21091111
43,29478800,8904991,0,-1,-1,0,0,-1,-1,1.38905107537e-05,0.0205838424035,-1,1973606,9312274,28801693,29196072,11409686,32440053,9312274,29196072,29196072
44,25389351,15959625,0,-1,-1,0,0,-1,-1,1e-05,0.221812218722,-1,1973606,26597095,13369603,29196072,5824239,3808271,9468702,29196072,29196072
45,19843996,30491418,0,-1,-1,0,0,-1,-1,0.000341365111887,0.256241370281,6721,30763035,26597095,4564247,29196072,5824237,30763035,6179461,29196072,21748264
45,22000711,25419531,0,-1,-1,0,1,-1,-1,0.000384530560991,0.308263078684,220044,27093701,9312274,7646979,6855139,32440044,1973606,2053513,26597096,21091108
46,6061274,30491418,0,-1,-1,0,1,-1,-1,5.69510898169e-05,0.275942148362,-1,30763035,26597095,3564241,29196072,5824237,30763035,10914886,29196072,29196072
46,6639881,18975813,0,-1,-1,0,0,-1,-1,0.00047577560348,0.0636429266694,1200784,25259032,9312274,19100298,29196072,5824237,1973606,5387377,20754144,8661620
47,21594641,14121532,1,1558,16227998,1,1,0,1,0.000441176470588,0.153454283692,-1,30763035,7477605,5571462,29196072,11409686,1973606,8243524,14911188,29196072
47,19213301,12700454,0,-1,-1,0,1,-1,-1,0.000226069440822,0.215063333246,958717,30763035,9312274,29157049,29196072,32440044,29196072,9312274,29196072,8661620
47,8844573,30491418,0,-1,-1,0,0,-1,-1,9.11217489663e-05,0.275942148362,-1,138937,26597095,3564241,29196072,5824237,32440053,18919433,29196072,29196072
48,26687310,17132183,0,-1,-1,0,0,-1,-1,6.17694591775e-05,0.0145642784736,-1,9312274,29196072,14586500,29196072,5824235,29196072,9312274,29196072,29196072
48,29456603,13365547,0,-1,-1,0,1,-1,-1,4.51902957524e-05,0.0375830169766,-1,30763035,26597094,31616034,29196072,11409684,26597096,9312274,29196072,29196072
49,18902423,26998428,0,-1,-1,0,0,-1,-1,1e-05,0.365317420574,-1,9312274,29196072,9511200,29196072,32440044,29196072,9312274,29196072,29196072
50,1441946,20695010,0,-1,-1,0,0,-1,-1,1e-05,0.188486036128,-1,1973606,9312274,5057395,29196072,7477605,29196072,24622215,29196072,29196072
50,31080092,24391301,0,-1,-1,0,0,-1,-1,1e-05,0.1344490415,-1,30763035,9312274,5749224,29196072,32440044,1973606,22255596,9312274,29196072
51,24981526,25119476,0,-1,-1,0,0,-1,-1,1.96941109265e-05,0.166927266211,-1,30763035,9312274,3867650,29196072,21611414,29196072,9091285,29196072,29196072
52,25317273,24321351,0,-1,-1,0,0,-1,-1,0.000238546709432,0.30894448194,1651354,28928366,26597095,17973199,29196072,32440044,32440053,17283725,29196072,18291877
