check_id,status,expected,observed
route_display_names_match_fallback_semantics,PASS,"{'first_click': 'First click or touch', 'last_click': 'Last click or touch', 'linear_attribution': 'Linear attribution', 'time_decay_soft': 'Time-decay attribution', 'soft_attribution_em': 'EM soft attribution'}","{'arrival_bin_anchor': 'Arrival-bin anchor (diagnostic)', 'click_prior_soft': 'Click prior soft attribution', 'first_click': 'First click or touch', 'last_click': 'Last click or touch', 'last_touch': 'Last touch', 'linear_attribution': 'Linear attribution', 'soft_attribution_em': 'EM soft attribution', 'source_linked_reference': 'Criteo-attributed cell reference', 'time_decay_soft': 'Time-decay attribution', 'uniform_soft': 'Uniform soft attribution'}"
main_summary_routes,PASS,"['arrival_bin_anchor', 'first_click', 'last_click', 'linear_attribution', 'soft_attribution_em', 'time_decay_soft']","['arrival_bin_anchor', 'first_click', 'last_click', 'linear_attribution', 'soft_attribution_em', 'time_decay_soft']"
main_summary_ci,PASS,"finite ordered UID-bootstrap intervals for credited mass, allocation TV, and overlap",rows=6
main_summary_bootstrap_n,PASS,1000,"[1000, 1000, 1000, 1000, 1000, 1000]"
arrival_anchor_point,PASS,"arrival anchor=(TV=0, top-10 overlap=1)","[{'route': 'arrival_bin_anchor', 'method_display_name': 'Arrival-bin anchor (diagnostic)', 'reference_route': 'arrival_bin_anchor', 'reference_label': 'arrival_anchor', 'top_k': 10, 'cost_lambda': 0.0, 'n_eligible_conversion_events': 145248.0, 'top_k_credited_mass_per_1000_events': 377.8158735404274, 'top_k_cost_adjusted_score_per_1000_events': 377.8158735404274, 'top_k_credited_mass_difference_per_1000_events_vs_arrival_anchor': 0.0, 'top_k_cost_adjusted_score_difference_per_1000_events_vs_arrival_anchor': 0.0, 'credit_allocation_tv_distance_vs_arrival_anchor': 0.0, 'top_k_decision_cell_overlap_vs_arrival_anchor': 1.0, 'spearman_rank_correlation_vs_arrival_anchor': 1.0, 'top_action_id': 1396, 'top_action_score': 0.45496073088636, 'top_k_credited_mass_per_1000_events_ci_lower': 371.3968641306368, 'top_k_credited_mass_per_1000_events_ci_upper': 385.5413894265778, 'top_k_credited_mass_difference_per_1000_events_vs_arrival_anchor_ci_lower': 0.0, 'top_k_credited_mass_difference_per_1000_events_vs_arrival_anchor_ci_upper': 0.0, 'credit_allocation_tv_distance_vs_arrival_anchor_ci_lower': 0.0, 'credit_allocation_tv_distance_vs_arrival_anchor_ci_upper': 0.0, 'top_k_decision_cell_overlap_vs_arrival_anchor_ci_lower': 1.0, 'top_k_decision_cell_overlap_vs_arrival_anchor_ci_upper': 1.0, 'spearman_rank_correlation_vs_arrival_anchor_ci_lower': 1.0, 'spearman_rank_correlation_vs_arrival_anchor_ci_upper': 1.0, 'ci_level': 0.95, 'n_bootstrap': 1000, 'bootstrap_unit': 'uid', 'metric_formula_id': 'source_time_decision_cell_credit_allocation_distance_vs_constructed_arrival_anchor'}]"
main_figure_uses_tv_not_credited_mass_displacement,PASS,new allocation-TV field and no credited_mass_displacement,"['route', 'method_display_name', 'reference_route', 'reference_label', 'top_k', 'cost_lambda', 'n_eligible_conversion_events', 'top_k_credited_mass_per_1000_events', 'top_k_cost_adjusted_score_per_1000_events', 'top_k_credited_mass_difference_per_1000_events_vs_arrival_anchor', 'top_k_cost_adjusted_score_difference_per_1000_events_vs_arrival_anchor', 'credit_allocation_tv_distance_vs_arrival_anchor', 'top_k_decision_cell_overlap_vs_arrival_anchor', 'spearman_rank_correlation_vs_arrival_anchor', 'top_action_id', 'top_action_score', 'top_k_credited_mass_per_1000_events_ci_lower', 'top_k_credited_mass_per_1000_events_ci_upper', 'top_k_credited_mass_difference_per_1000_events_vs_arrival_anchor_ci_lower', 'top_k_credited_mass_difference_per_1000_events_vs_arrival_anchor_ci_upper', 'credit_allocation_tv_distance_vs_arrival_anchor_ci_lower', 'credit_allocation_tv_distance_vs_arrival_anchor_ci_upper', 'top_k_decision_cell_overlap_vs_arrival_anchor_ci_lower', 'top_k_decision_cell_overlap_vs_arrival_anchor_ci_upper', 'spearman_rank_correlation_vs_arrival_anchor_ci_lower', 'spearman_rank_correlation_vs_arrival_anchor_ci_upper', 'ci_level', 'n_bootstrap', 'bootstrap_unit', 'metric_formula_id']"
no_primary_utility_language,PASS,primary summary columns avoid utility naming,"['route', 'method_display_name', 'reference_route', 'reference_label', 'top_k', 'cost_lambda', 'n_eligible_conversion_events', 'top_k_credited_mass_per_1000_events', 'top_k_cost_adjusted_score_per_1000_events', 'top_k_credited_mass_difference_per_1000_events_vs_arrival_anchor', 'top_k_cost_adjusted_score_difference_per_1000_events_vs_arrival_anchor', 'credit_allocation_tv_distance_vs_arrival_anchor', 'top_k_decision_cell_overlap_vs_arrival_anchor', 'spearman_rank_correlation_vs_arrival_anchor', 'top_action_id', 'top_action_score', 'top_k_credited_mass_per_1000_events_ci_lower', 'top_k_credited_mass_per_1000_events_ci_upper', 'top_k_credited_mass_difference_per_1000_events_vs_arrival_anchor_ci_lower', 'top_k_credited_mass_difference_per_1000_events_vs_arrival_anchor_ci_upper', 'credit_allocation_tv_distance_vs_arrival_anchor_ci_lower', 'credit_allocation_tv_distance_vs_arrival_anchor_ci_upper', 'top_k_decision_cell_overlap_vs_arrival_anchor_ci_lower', 'top_k_decision_cell_overlap_vs_arrival_anchor_ci_upper', 'spearman_rank_correlation_vs_arrival_anchor_ci_lower', 'spearman_rank_correlation_vs_arrival_anchor_ci_upper', 'ci_level', 'n_bootstrap', 'bootstrap_unit', 'metric_formula_id']"
uid_bootstrap_count,PASS,1000,rows=6000
main_route_divergence_audit,PASS,15 finite pairs,rows=15
core_source_route_pairwise_tv_nonzero,PASS,at least one nonzero-TV pair among core source routes,"{'core_routes': ['first_click', 'last_click', 'linear_attribution', 'time_decay_soft'], 'nonzero_pairs': 6}"
at_least_one_core_pair_tv_above_threshold,PASS,>=1e-06,"{'core_routes': ['first_click', 'last_click', 'linear_attribution', 'time_decay_soft'], 'above_threshold_pairs': 6}"
em_positive_entropy_share_above_threshold,PASS,>=0.001,0.27724994492178895
pairwise_overlap_data_exists,PASS,core-route square TV/overlap matrix with correct diagonal,rows=16
pairwise_heatmap_excludes_arrival_anchor,PASS,pairwise heatmap source data contains only first/last/linear/time-decay source routes,"{'route_left': ['first_click', 'last_click', 'linear_attribution', 'time_decay_soft'], 'route_right': ['first_click', 'last_click', 'linear_attribution', 'time_decay_soft']}"
pairwise_top_k_overlap_contract,PASS,48 finite overlap cells on configured route set,rows=48
window_specific_uid_contract,PASS,each window has zero missing_reference and uid_mismatch,rows=4
figure_bundle_fig_exp2_attribution_sensitivity,PASS,"complete bundle, paper_result=True",rows=10
arrival_anchor_displayed_as_diagnostic,PASS,arrival anchor display name is diagnostic,"['Arrival-bin anchor (diagnostic)', 'First click or touch', 'Last click or touch', 'Linear attribution', 'Time-decay attribution']"
main_figure_uses_horizontal_point_range,PASS,Panel B is a horizontal point-range keyed by method display name,"{'figure_id': 'fig_exp2_attribution_sensitivity', 'figure_status': 'generated', 'paper_result': True, 'run_mode': 'full', 'input_data_status': 'complete', 'estimand_boundary': 'observational logged credit-allocation and source-time decision-cell ranking sensitivity; not policy value, causal effect, ROI, or deployment evaluation', 'figure_size_in': [6.85, 2.7], 'dpi': 600, 'metric_id': 'credit_allocation_tv_distance_vs_arrival_anchor', 'metric_formula_id': 'tv_distance_between_normalized_route_credit_allocation_and_arrival_anchor;top10_set_overlap_between_route_and_arrival_anchor', 'uncertainty_unit': 'uid', 'ci_level': 0.95, 'n_bootstrap': 1000, 'input_files': ['summaries/exp2_route_sensitivity_summary.csv', 'summaries/exp2_source_event_delay_profile.csv'], 'config_hash': '8f4185f31a816d68', 'caption_template': 'Panel A reports the delay composition within the eligible decision-cell cohort under the 30-day candidate window, not the full Criteo-log delay distribution. Panel B reports logged credit-allocation TV distance and Top-10 decision-cell overlap relative to the constructed arrival-bin anchor.', 'layout': '1_row_2_columns', 'panel_titles': ['(a) Delay composition', '(b) Allocation and ranking displacement'], 'panel_title_font_size': 9.0, 'title_layout': 'tight_layout_rect_plus_subplots_adjust_top', 'subplots_adjust_top': 0.86, 'panel_b_geometry': 'horizontal_point_range', 'panel_b_x_id': 'credit_allocation_tv_distance_vs_arrival_anchor', 'panel_b_y_id': 'method_display_name', 'panel_b_annotation_rule': 'x_annotation = min(x_ci_upper + padding, x_axis_max - right_margin); x_axis_max expands until renderer bounding boxes fit inside panel and canvas', 'panel_b_annotation_padding': 0.035, 'panel_b_annotation_right_margin': 0.1, 'panel_b_annotation_layout': 'right-side data-coordinate gutter with renderer bounding-box validation', 'panel_b_annotation_layout_validation': {'passed': True, 'attempts': 3, 'canvas_width_px': 685.0, 'canvas_height_px': 270.0, 'panel_b_axes_right_px': 673.7500000000001, 'max_annotation_right_px': 664.9404049977801, 'figure_canvas_validation': {'figure_id': 'fig_exp2_attribution_sensitivity', 'panel_id': 'panel_b', 'annotation_count': 5, 'all_annotations_inside_figure': True, 'passed': True, 'attempts': 3, 'figure_bbox_pixels': {'x0': 0.0, 'y0': 0.0, 'x1': 685.0, 'y1': 270.0}, 'annotations': [{'text': 'Top-10 overlap: 1.00', 'bbox_pixels': {'x0': 444.5550358280255, 'y0': 209.4327777777778, 'x1': 524.0550358280254, 'y1': 218.4327777777778}, 'inside_figure': True}, {'text': 'Top-10 overlap: 0.00', 'bbox_pixels': {'x0': 585.5654049977801, 'y0': 172.89833333333337, 'x1': 664.9404049977801, 'y1': 181.89833333333337}, 'inside_figure': True}, {'text': 'Top-10 overlap: 0.00', 'bbox_pixels': {'x0': 585.2479519096191, 'y0': 136.3638888888889, 'x1': 664.6229519096191, 'y1': 145.3638888888889}, 'inside_figure': True}, {'text': 'Top-10 overlap: 0.00', 'bbox_pixels': {'x0': 585.4236021060201, 'y0': 99.82944444444446, 'x1': 664.7986021060201, 'y1': 108.82944444444446}, 'inside_figure': True}, {'text': 'Top-10 overlap: 0.00', 'bbox_pixels': {'x0': 585.2842023793183, 'y0': 63.295000000000016, 'x1': 664.6592023793183, 'y1': 72.29500000000002}, 'inside_figure': True}]}}, 'panel_b_x_axis_min': -0.03, 'panel_b_x_axis_max': 1.54, 'panel_b_annotation_x_values': {'arrival_bin_anchor': 0.035, 'first_click': 0.9609392167152621, 'last_click': 0.9588546731066866, 'linear_attribution': 0.9600080734291524, 'time_decay_soft': 0.9590927104348387}, 'secondary_annotation': 'top_k_decision_cell_overlap_vs_arrival_anchor', 'finalized_after_semantic_self_check': True}"
main_figure_panel_titles_do_not_overlap,PASS,"short panel titles, font <= 9, and explicit top layout margin","{'figure_id': 'fig_exp2_attribution_sensitivity', 'figure_status': 'generated', 'paper_result': True, 'run_mode': 'full', 'input_data_status': 'complete', 'estimand_boundary': 'observational logged credit-allocation and source-time decision-cell ranking sensitivity; not policy value, causal effect, ROI, or deployment evaluation', 'figure_size_in': [6.85, 2.7], 'dpi': 600, 'metric_id': 'credit_allocation_tv_distance_vs_arrival_anchor', 'metric_formula_id': 'tv_distance_between_normalized_route_credit_allocation_and_arrival_anchor;top10_set_overlap_between_route_and_arrival_anchor', 'uncertainty_unit': 'uid', 'ci_level': 0.95, 'n_bootstrap': 1000, 'input_files': ['summaries/exp2_route_sensitivity_summary.csv', 'summaries/exp2_source_event_delay_profile.csv'], 'config_hash': '8f4185f31a816d68', 'caption_template': 'Panel A reports the delay composition within the eligible decision-cell cohort under the 30-day candidate window, not the full Criteo-log delay distribution. Panel B reports logged credit-allocation TV distance and Top-10 decision-cell overlap relative to the constructed arrival-bin anchor.', 'layout': '1_row_2_columns', 'panel_titles': ['(a) Delay composition', '(b) Allocation and ranking displacement'], 'panel_title_font_size': 9.0, 'title_layout': 'tight_layout_rect_plus_subplots_adjust_top', 'subplots_adjust_top': 0.86, 'panel_b_geometry': 'horizontal_point_range', 'panel_b_x_id': 'credit_allocation_tv_distance_vs_arrival_anchor', 'panel_b_y_id': 'method_display_name', 'panel_b_annotation_rule': 'x_annotation = min(x_ci_upper + padding, x_axis_max - right_margin); x_axis_max expands until renderer bounding boxes fit inside panel and canvas', 'panel_b_annotation_padding': 0.035, 'panel_b_annotation_right_margin': 0.1, 'panel_b_annotation_layout': 'right-side data-coordinate gutter with renderer bounding-box validation', 'panel_b_annotation_layout_validation': {'passed': True, 'attempts': 3, 'canvas_width_px': 685.0, 'canvas_height_px': 270.0, 'panel_b_axes_right_px': 673.7500000000001, 'max_annotation_right_px': 664.9404049977801, 'figure_canvas_validation': {'figure_id': 'fig_exp2_attribution_sensitivity', 'panel_id': 'panel_b', 'annotation_count': 5, 'all_annotations_inside_figure': True, 'passed': True, 'attempts': 3, 'figure_bbox_pixels': {'x0': 0.0, 'y0': 0.0, 'x1': 685.0, 'y1': 270.0}, 'annotations': [{'text': 'Top-10 overlap: 1.00', 'bbox_pixels': {'x0': 444.5550358280255, 'y0': 209.4327777777778, 'x1': 524.0550358280254, 'y1': 218.4327777777778}, 'inside_figure': True}, {'text': 'Top-10 overlap: 0.00', 'bbox_pixels': {'x0': 585.5654049977801, 'y0': 172.89833333333337, 'x1': 664.9404049977801, 'y1': 181.89833333333337}, 'inside_figure': True}, {'text': 'Top-10 overlap: 0.00', 'bbox_pixels': {'x0': 585.2479519096191, 'y0': 136.3638888888889, 'x1': 664.6229519096191, 'y1': 145.3638888888889}, 'inside_figure': True}, {'text': 'Top-10 overlap: 0.00', 'bbox_pixels': {'x0': 585.4236021060201, 'y0': 99.82944444444446, 'x1': 664.7986021060201, 'y1': 108.82944444444446}, 'inside_figure': True}, {'text': 'Top-10 overlap: 0.00', 'bbox_pixels': {'x0': 585.2842023793183, 'y0': 63.295000000000016, 'x1': 664.6592023793183, 'y1': 72.29500000000002}, 'inside_figure': True}]}}, 'panel_b_x_axis_min': -0.03, 'panel_b_x_axis_max': 1.54, 'panel_b_annotation_x_values': {'arrival_bin_anchor': 0.035, 'first_click': 0.9609392167152621, 'last_click': 0.9588546731066866, 'linear_attribution': 0.9600080734291524, 'time_decay_soft': 0.9590927104348387}, 'secondary_annotation': 'top_k_decision_cell_overlap_vs_arrival_anchor', 'finalized_after_semantic_self_check': True}"
main_figure_annotations_within_axes,PASS,Top-10 overlap annotations use dynamic x positions inside the x-axis range,"{'x_axis_max': 1.54, 'right_margin': 0.1, 'annotation_x_min': 0.035, 'annotation_x_max': 0.960939216715262, 'layout_validation': {'passed': True, 'attempts': 3, 'canvas_width_px': 685.0, 'canvas_height_px': 270.0, 'panel_b_axes_right_px': 673.7500000000001, 'max_annotation_right_px': 664.9404049977801, 'figure_canvas_validation': {'figure_id': 'fig_exp2_attribution_sensitivity', 'panel_id': 'panel_b', 'annotation_count': 5, 'all_annotations_inside_figure': True, 'passed': True, 'attempts': 3, 'figure_bbox_pixels': {'x0': 0.0, 'y0': 0.0, 'x1': 685.0, 'y1': 270.0}, 'annotations': [{'text': 'Top-10 overlap: 1.00', 'bbox_pixels': {'x0': 444.5550358280255, 'y0': 209.4327777777778, 'x1': 524.0550358280254, 'y1': 218.4327777777778}, 'inside_figure': True}, {'text': 'Top-10 overlap: 0.00', 'bbox_pixels': {'x0': 585.5654049977801, 'y0': 172.89833333333337, 'x1': 664.9404049977801, 'y1': 181.89833333333337}, 'inside_figure': True}, {'text': 'Top-10 overlap: 0.00', 'bbox_pixels': {'x0': 585.2479519096191, 'y0': 136.3638888888889, 'x1': 664.6229519096191, 'y1': 145.3638888888889}, 'inside_figure': True}, {'text': 'Top-10 overlap: 0.00', 'bbox_pixels': {'x0': 585.4236021060201, 'y0': 99.82944444444446, 'x1': 664.7986021060201, 'y1': 108.82944444444446}, 'inside_figure': True}, {'text': 'Top-10 overlap: 0.00', 'bbox_pixels': {'x0': 585.2842023793183, 'y0': 63.295000000000016, 'x1': 664.6592023793183, 'y1': 72.29500000000002}, 'inside_figure': True}]}}, 'texts': ['Top-10 overlap: 1.00', 'Top-10 overlap: 0.00', 'Top-10 overlap: 0.00', 'Top-10 overlap: 0.00', 'Top-10 overlap: 0.00']}"
figure_bundle_fig_app_exp2_source_route_pairwise_overlap,PASS,"complete bundle, paper_result=True",rows=32
pairwise_overlap_figure_exists,PASS,pairwise appendix figure bundle exists,rows=32
pairwise_overlap_metadata_exists,PASS,pairwise metadata has estimand boundary and uid uncertainty,"{'figure_id': 'fig_app_exp2_source_route_pairwise_overlap', 'figure_status': 'generated', 'paper_result': True, 'run_mode': 'full', 'input_data_status': 'complete', 'estimand_boundary': 'observational logged credit-allocation and source-time decision-cell ranking sensitivity; not policy value, causal effect, ROI, or deployment evaluation', 'figure_size_in': [6.85, 2.65], 'dpi': 600, 'metric_id': 'pairwise_credit_allocation_tv_distance;pairwise_top_k_overlap', 'metric_formula_id': 'pairwise_tv_distance_between_source_route_assignment_distributions;pairwise_top10_decision_cell_set_overlap', 'uncertainty_unit': 'uid', 'ci_level': 0.95, 'n_bootstrap': 1000, 'input_files': ['summaries/exp2_source_route_pairwise_overlap.csv'], 'config_hash': '8f4185f31a816d68', 'figure_role': 'appendix_source_route_mechanism_diagnostic', 'finalized_after_semantic_self_check': True}"
pairwise_heatmap_figure_excludes_arrival_anchor,PASS,figure data/metadata exclude arrival anchor and EM,"['first_click', 'last_click', 'linear_attribution', 'time_decay_soft']"
main_figure_metric_contract,PASS,main figure uses horizontal allocation TV point-ranges with top-10 overlap annotation,"{'routes': ['arrival_bin_anchor', 'first_click', 'last_click', 'linear_attribution', 'time_decay_soft'], 'x_id': ['credit_allocation_tv_distance_vs_arrival_anchor'], 'y_id': ['method_display_name']}"
table_tbl_app_exp2_dataset_summary,PASS,nonempty CSV + MD + TeX,rows=8
table_tbl_app_exp2_candidate_set_summary,PASS,nonempty CSV + MD + TeX,rows=2
table_tbl_app_exp2_attribution_routes,PASS,nonempty CSV + MD + TeX,rows=11
table_tbl_exp2_route_sensitivity,PASS,nonempty CSV + MD + TeX,rows=5
table_tbl_app_exp2_source_linked_audit,PASS,nonempty CSV + MD + TeX,rows=7
table_tbl_app_exp2_top_k_sensitivity,PASS,nonempty CSV + MD + TeX,rows=48
table_tbl_app_exp2_candidate_window_sensitivity,PASS,nonempty CSV + MD + TeX,rows=20
table_tbl_app_exp2_em_assignment_diagnostic,PASS,nonempty CSV + MD + TeX,rows=4
table_tbl_app_exp2_cost_adjusted_credit_score,PASS,nonempty CSV + MD + TeX,rows=18
csv_md_tex_table_triplets_exist,PASS,"formal appendix tables have CSV, Markdown, and TeX","['tbl_app_exp2_source_linked_audit', 'tbl_app_exp2_top_k_sensitivity', 'tbl_app_exp2_candidate_window_sensitivity', 'tbl_app_exp2_em_assignment_diagnostic']"
source_linked_audit_has_nondiscriminative_flag,PASS,"source-linked audit table includes p90, nondiscriminative flag, and note",rows=7
source_linked_audit_is_table_only,PASS,appendix diagnostic table exists and no formal figure exists,"{'table_exists': True, 'figure_exists': False}"
top_k_sensitivity_is_table_only,PASS,appendix diagnostic table exists and no formal figure exists,"{'table_exists': True, 'figure_exists': False}"
candidate_window_sensitivity_is_table_only,PASS,appendix diagnostic table exists and no formal figure exists,"{'table_exists': True, 'figure_exists': False}"
em_assignment_diagnostic_is_table_only,PASS,appendix diagnostic table exists and no formal figure exists,"{'table_exists': True, 'figure_exists': False}"
em_diagnostic_is_table_only,PASS,EM diagnostic table exists and no formal figure exists,"{'table_exists': True, 'figure_exists': False}"
no_deprecated_or_redundant_figures,PASS,no replay or redundant appendix figures,[]
no_old_figure_ids_in_formal_latex_interface,PASS,formal interface excludes old appendix figure ids,"['fig_exp2_main_replay', 'fig_exp2_delay_coupling_control', 'fig_exp2_label_availability', 'fig_app_exp2_source_linked_audit', 'fig_app_exp2_top_k_sensitivity', 'fig_app_exp2_candidate_window_sensitivity', 'fig_app_exp2_em_assignment_diagnostic']"
docs_present_and_updated,PASS,required docs exist and state Exp2 interpretation boundary,"{'docs\\metric_specification.md': {'exists': True, 'has_required_text': True}, 'docs\\output_contract.md': {'exists': True, 'has_required_text': True}, 'docs\\latex_interface_experiments.md': {'exists': True, 'has_required_text': True}, 'docs\\experiment_refactor_completion_report.md': {'exists': True, 'has_required_text': True}}"
semantic_replot_regression,PASS,not required for a clean end-to-end pipeline run,"{'required': False, 'observed': 'not required for a clean end-to-end pipeline run', 'reason': 'not required for a clean end-to-end pipeline run; historical display-repair SHA256 artifacts apply only to an explicit post hoc display-repair validation pass'}"
figure_table_repair_regression,PASS,not required for a clean end-to-end pipeline run,"{'required': False, 'observed': 'not required for a clean end-to-end pipeline run', 'reason': 'not required for a clean end-to-end pipeline run; historical display-repair SHA256 artifacts apply only to an explicit post hoc display-repair validation pass'}"
