check_id,status,expected,observed
delay_profile_source_event_contract,PASS,eligible source-event counts and shares summing to 100,rows=5
main_routes_present,PASS,"['arrival_bin_anchor', 'first_click', 'last_click', 'linear_attribution', 'soft_attribution_em', 'time_decay_soft']","['arrival_bin_anchor', 'click_prior_soft', 'first_click', 'last_click', 'last_touch', 'linear_attribution', 'soft_attribution_em', 'time_decay_soft', 'uniform_soft']"
source_reference_audit_only,PASS,no source-linked reference on main cohort,0
route_weights_normalized,PASS,route weights sum to one per conversion,1.4432899320127035e-15
arrival_anchor_diagnostic_status,PASS,constructed arrival anchor must be diagnostic/nondeployable,"[{'diagnostic_only': True, 'deployable': False}]"
route_display_names_match_fallback_semantics,PASS,"{'first_click': 'First click or touch', 'last_click': 'Last click or touch', 'linear_attribution': 'Linear attribution', 'time_decay_soft': 'Time-decay attribution', 'soft_attribution_em': 'EM soft attribution'}","{'arrival_bin_anchor': 'Arrival-bin anchor (diagnostic)', 'click_prior_soft': 'Click prior soft attribution', 'first_click': 'First click or touch', 'last_click': 'Last click or touch', 'last_touch': 'Last touch', 'linear_attribution': 'Linear attribution', 'soft_attribution_em': 'EM soft attribution', 'source_linked_reference': 'Criteo-attributed cell reference', 'time_decay_soft': 'Time-decay attribution', 'uniform_soft': 'Uniform soft attribution'}"
main_summary_routes,PASS,"['arrival_bin_anchor', 'first_click', 'last_click', 'linear_attribution', 'soft_attribution_em', 'time_decay_soft']","['arrival_bin_anchor', 'first_click', 'last_click', 'linear_attribution', 'soft_attribution_em', 'time_decay_soft']"
main_summary_ci,PASS,"finite ordered UID-bootstrap intervals for credited mass, allocation TV, and overlap",rows=6
main_summary_bootstrap_n,PASS,200,"[200, 200, 200, 200, 200, 200]"
arrival_anchor_point,PASS,"arrival anchor=(TV=0, top-10 overlap=1)","[{'route': 'arrival_bin_anchor', 'method_display_name': 'Arrival-bin anchor (diagnostic)', 'reference_route': 'arrival_bin_anchor', 'reference_label': 'arrival_anchor', 'top_k': 10, 'cost_lambda': 0.0, 'n_eligible_conversion_events': 145248.0, 'top_k_credited_mass_per_1000_events': 377.8158735404274, 'top_k_cost_adjusted_score_per_1000_events': 377.8158735404274, 'top_k_credited_mass_difference_per_1000_events_vs_arrival_anchor': 0.0, 'top_k_cost_adjusted_score_difference_per_1000_events_vs_arrival_anchor': 0.0, 'credit_allocation_tv_distance_vs_arrival_anchor': 0.0, 'top_k_decision_cell_overlap_vs_arrival_anchor': 1.0, 'spearman_rank_correlation_vs_arrival_anchor': 1.0, 'top_action_id': 1396, 'top_action_score': 0.45496073088636, 'top_k_credited_mass_per_1000_events_ci_lower': 371.553263568168, 'top_k_credited_mass_per_1000_events_ci_upper': 385.68494057707625, 'top_k_credited_mass_difference_per_1000_events_vs_arrival_anchor_ci_lower': 0.0, 'top_k_credited_mass_difference_per_1000_events_vs_arrival_anchor_ci_upper': 0.0, 'credit_allocation_tv_distance_vs_arrival_anchor_ci_lower': 0.0, 'credit_allocation_tv_distance_vs_arrival_anchor_ci_upper': 0.0, 'top_k_decision_cell_overlap_vs_arrival_anchor_ci_lower': 1.0, 'top_k_decision_cell_overlap_vs_arrival_anchor_ci_upper': 1.0, 'spearman_rank_correlation_vs_arrival_anchor_ci_lower': 1.0, 'spearman_rank_correlation_vs_arrival_anchor_ci_upper': 1.0, 'ci_level': 0.95, 'n_bootstrap': 200, 'bootstrap_unit': 'uid', 'metric_formula_id': 'source_time_decision_cell_credit_allocation_distance_vs_constructed_arrival_anchor'}]"
main_figure_uses_tv_not_credited_mass_displacement,PASS,new allocation-TV field and no credited_mass_displacement,"['route', 'method_display_name', 'reference_route', 'reference_label', 'top_k', 'cost_lambda', 'n_eligible_conversion_events', 'top_k_credited_mass_per_1000_events', 'top_k_cost_adjusted_score_per_1000_events', 'top_k_credited_mass_difference_per_1000_events_vs_arrival_anchor', 'top_k_cost_adjusted_score_difference_per_1000_events_vs_arrival_anchor', 'credit_allocation_tv_distance_vs_arrival_anchor', 'top_k_decision_cell_overlap_vs_arrival_anchor', 'spearman_rank_correlation_vs_arrival_anchor', 'top_action_id', 'top_action_score', 'top_k_credited_mass_per_1000_events_ci_lower', 'top_k_credited_mass_per_1000_events_ci_upper', 'top_k_credited_mass_difference_per_1000_events_vs_arrival_anchor_ci_lower', 'top_k_credited_mass_difference_per_1000_events_vs_arrival_anchor_ci_upper', 'credit_allocation_tv_distance_vs_arrival_anchor_ci_lower', 'credit_allocation_tv_distance_vs_arrival_anchor_ci_upper', 'top_k_decision_cell_overlap_vs_arrival_anchor_ci_lower', 'top_k_decision_cell_overlap_vs_arrival_anchor_ci_upper', 'spearman_rank_correlation_vs_arrival_anchor_ci_lower', 'spearman_rank_correlation_vs_arrival_anchor_ci_upper', 'ci_level', 'n_bootstrap', 'bootstrap_unit', 'metric_formula_id']"
no_primary_utility_language,PASS,primary summary columns avoid utility naming,"['route', 'method_display_name', 'reference_route', 'reference_label', 'top_k', 'cost_lambda', 'n_eligible_conversion_events', 'top_k_credited_mass_per_1000_events', 'top_k_cost_adjusted_score_per_1000_events', 'top_k_credited_mass_difference_per_1000_events_vs_arrival_anchor', 'top_k_cost_adjusted_score_difference_per_1000_events_vs_arrival_anchor', 'credit_allocation_tv_distance_vs_arrival_anchor', 'top_k_decision_cell_overlap_vs_arrival_anchor', 'spearman_rank_correlation_vs_arrival_anchor', 'top_action_id', 'top_action_score', 'top_k_credited_mass_per_1000_events_ci_lower', 'top_k_credited_mass_per_1000_events_ci_upper', 'top_k_credited_mass_difference_per_1000_events_vs_arrival_anchor_ci_lower', 'top_k_credited_mass_difference_per_1000_events_vs_arrival_anchor_ci_upper', 'credit_allocation_tv_distance_vs_arrival_anchor_ci_lower', 'credit_allocation_tv_distance_vs_arrival_anchor_ci_upper', 'top_k_decision_cell_overlap_vs_arrival_anchor_ci_lower', 'top_k_decision_cell_overlap_vs_arrival_anchor_ci_upper', 'spearman_rank_correlation_vs_arrival_anchor_ci_lower', 'spearman_rank_correlation_vs_arrival_anchor_ci_upper', 'ci_level', 'n_bootstrap', 'bootstrap_unit', 'metric_formula_id']"
uid_bootstrap_count,PASS,200,rows=1200
main_route_divergence_audit,PASS,15 finite pairs,rows=15
core_source_route_pairwise_tv_nonzero,PASS,at least one nonzero-TV pair among core source routes,"{'core_routes': ['first_click', 'last_click', 'linear_attribution', 'time_decay_soft'], 'nonzero_pairs': 6}"
at_least_one_core_pair_tv_above_threshold,PASS,>=1e-06,"{'core_routes': ['first_click', 'last_click', 'linear_attribution', 'time_decay_soft'], 'above_threshold_pairs': 6}"
em_positive_entropy_share_above_threshold,PASS,>=0.001,0.27724994492178895
pairwise_overlap_data_exists,PASS,core-route square TV/overlap matrix with correct diagonal,rows=16
pairwise_heatmap_excludes_arrival_anchor,PASS,pairwise heatmap source data contains only first/last/linear/time-decay source routes,"{'route_left': ['first_click', 'last_click', 'linear_attribution', 'time_decay_soft'], 'route_right': ['first_click', 'last_click', 'linear_attribution', 'time_decay_soft']}"
pairwise_top_k_overlap_contract,PASS,48 finite overlap cells on configured route set,rows=48
window_specific_uid_contract,PASS,each window has zero missing_reference/uid_mismatch and is explicitly a no-bootstrap common-cohort diagnostic,rows=4
figure_bundle_fig_exp2_attribution_sensitivity,PASS,"complete bundle, paper_result=False",rows=10
arrival_anchor_displayed_as_diagnostic,PASS,arrival anchor display name is diagnostic,"['Arrival-bin anchor (diagnostic)', 'First click or touch', 'Last click or touch', 'Linear attribution', 'Time-decay attribution']"
main_figure_uses_horizontal_point_range,PASS,panel B encodes allocation TV on x and methods on y,"[{'method_id': 'arrival_bin_anchor', 'x_id': 'credit_allocation_tv_distance_vs_arrival_anchor', 'metric_id': 'credit_allocation_tv_distance_vs_arrival_anchor'}, {'method_id': 'first_click', 'x_id': 'credit_allocation_tv_distance_vs_arrival_anchor', 'metric_id': 'credit_allocation_tv_distance_vs_arrival_anchor'}, {'method_id': 'last_click', 'x_id': 'credit_allocation_tv_distance_vs_arrival_anchor', 'metric_id': 'credit_allocation_tv_distance_vs_arrival_anchor'}, {'method_id': 'linear_attribution', 'x_id': 'credit_allocation_tv_distance_vs_arrival_anchor', 'metric_id': 'credit_allocation_tv_distance_vs_arrival_anchor'}, {'method_id': 'time_decay_soft', 'x_id': 'credit_allocation_tv_distance_vs_arrival_anchor', 'metric_id': 'credit_allocation_tv_distance_vs_arrival_anchor'}]"
main_figure_panel_titles_do_not_overlap,PASS,"short panel titles, <=9pt font, reserved top space","{'panel_titles': {'panel_a': '(a) Delay composition', 'panel_b': '(b) Allocation and ranking displacement'}, 'font_size': 9.0, 'layout': 'reserved_top_space_with_tight_layout_rect_and_subplots_adjust'}"
main_figure_annotations_within_axes,PASS,Top-10 annotations use bounded x positions inside axes,"[{'route': 'arrival_bin_anchor', 'x_marker': 0.0, 'x_ci_upper': 0.0, 'x_annotation': 0.08, 'x_axis_max': 1.1060074579888923, 'right_margin': 0.012, 'padding': 0.025}, {'route': 'first_click', 'x_marker': 0.9243707314386428, 'x_ci_upper': 0.9260074579888924, 'x_annotation': 0.9510074579888924, 'x_axis_max': 1.1060074579888923, 'right_margin': 0.012, 'padding': 0.025}, {'route': 'last_click', 'x_marker': 0.9222433355364617, 'x_ci_upper': 0.9236649712651316, 'x_annotation': 0.9486649712651316, 'x_axis_max': 1.1060074579888923, 'right_margin': 0.012, 'padding': 0.025}, {'route': 'linear_attribution', 'x_marker': 0.923483767668558, 'x_ci_upper': 0.9249325171197088, 'x_annotation': 0.9499325171197088, 'x_axis_max': 1.1060074579888923, 'right_margin': 0.012, 'padding': 0.025}, {'route': 'time_decay_soft', 'x_marker': 0.9225146012904448, 'x_ci_upper': 0.9239077751855168, 'x_annotation': 0.9489077751855168, 'x_axis_max': 1.1060074579888923, 'right_margin': 0.012, 'padding': 0.025}]"
main_figure_caption_template_updated,PASS,caption records full cohort and anchor interpretation,"Panel A reports the delay composition within the eligible decision-cell cohort under the 30-day candidate window, not the full Criteo-log delay distribution. Panel B reports logged credit-allocation TV distance and Top-10 decision-cell overlap relative to the constructed arrival-bin anchor."
main_figure_callouts_do_not_overlap,PASS,configured callout positions create separated label positions,"{'positions': [{'route': 'arrival_bin_anchor', 'x_marker': 0.0, 'x_ci_upper': 0.0, 'x_annotation': 0.08, 'x_axis_max': 1.1060074579888923, 'right_margin': 0.012, 'padding': 0.025}, {'route': 'first_click', 'x_marker': 0.9243707314386428, 'x_ci_upper': 0.9260074579888924, 'x_annotation': 0.9510074579888924, 'x_axis_max': 1.1060074579888923, 'right_margin': 0.012, 'padding': 0.025}, {'route': 'last_click', 'x_marker': 0.9222433355364617, 'x_ci_upper': 0.9236649712651316, 'x_annotation': 0.9486649712651316, 'x_axis_max': 1.1060074579888923, 'right_margin': 0.012, 'padding': 0.025}, {'route': 'linear_attribution', 'x_marker': 0.923483767668558, 'x_ci_upper': 0.9249325171197088, 'x_annotation': 0.9499325171197088, 'x_axis_max': 1.1060074579888923, 'right_margin': 0.012, 'padding': 0.025}, {'route': 'time_decay_soft', 'x_marker': 0.9225146012904448, 'x_ci_upper': 0.9239077751855168, 'x_annotation': 0.9489077751855168, 'x_axis_max': 1.1060074579888923, 'right_margin': 0.012, 'padding': 0.025}], 'min_distance': 1.001024741934192}"
figure_bundle_fig_app_exp2_source_route_pairwise_overlap,PASS,"complete bundle, paper_result=False",rows=32
pairwise_overlap_figure_exists,PASS,pairwise appendix figure bundle exists,rows=32
pairwise_overlap_metadata_exists,PASS,pairwise metadata has estimand boundary and uid uncertainty,"{'figure_id': 'fig_app_exp2_source_route_pairwise_overlap', 'figure_status': 'generated', 'paper_result': False, 'run_mode': 'fast', 'input_data_status': 'complete', 'estimand_boundary': 'observational logged credit-allocation and source-time decision-cell ranking sensitivity; not policy value, causal effect, ROI, or deployment evaluation', 'figure_size_in': [6.85, 2.65], 'dpi': 600, 'metric_id': 'pairwise_credit_allocation_tv_distance;pairwise_top_k_overlap', 'metric_formula_id': 'pairwise_tv_distance_between_source_route_assignment_distributions;pairwise_top10_decision_cell_set_overlap', 'uncertainty_unit': 'uid', 'ci_level': 0.95, 'n_bootstrap': 200, 'input_files': ['summaries/exp2_source_route_pairwise_overlap.csv'], 'config_hash': 'de7ac06680343353', 'figure_role': 'appendix_source_route_mechanism_diagnostic'}"
pairwise_heatmap_figure_excludes_arrival_anchor,PASS,figure data/metadata exclude arrival anchor and EM,"['first_click', 'last_click', 'linear_attribution', 'time_decay_soft']"
main_figure_metric_contract,PASS,main figure uses allocation TV x top-10 overlap for configured non-EM routes,"{'routes': ['arrival_bin_anchor', 'first_click', 'last_click', 'linear_attribution', 'time_decay_soft'], 'x_id': ['credit_allocation_tv_distance_vs_arrival_anchor']}"
table_tbl_app_exp2_dataset_summary,PASS,nonempty CSV + MD + TeX,rows=8
table_tbl_app_exp2_candidate_set_summary,PASS,nonempty CSV + MD + TeX,rows=2
table_tbl_app_exp2_attribution_routes,PASS,nonempty CSV + MD + TeX,rows=10
table_tbl_exp2_route_sensitivity,PASS,nonempty CSV + MD + TeX,rows=5
table_tbl_app_exp2_source_linked_audit,PASS,nonempty CSV + MD + TeX,rows=7
table_tbl_app_exp2_top_k_sensitivity,PASS,nonempty CSV + MD + TeX,rows=48
table_tbl_app_exp2_candidate_window_sensitivity,PASS,nonempty CSV + MD + TeX,rows=20
table_tbl_app_exp2_em_assignment_diagnostic,PASS,nonempty CSV + MD + TeX,rows=4
table_tbl_app_exp2_cost_adjusted_credit_score,PASS,nonempty CSV + MD + TeX,rows=18
csv_md_tex_table_triplets_exist,PASS,"formal appendix tables have CSV, Markdown, and TeX","['tbl_app_exp2_source_linked_audit', 'tbl_app_exp2_top_k_sensitivity', 'tbl_app_exp2_candidate_window_sensitivity', 'tbl_app_exp2_em_assignment_diagnostic']"
source_linked_audit_has_nondiscriminative_flag,PASS,"source-linked audit table includes p90, nondiscriminative flag, and note",rows=7
source_linked_audit_is_table_only,PASS,appendix diagnostic table exists and no formal figure exists,"{'table_exists': True, 'figure_exists': False}"
top_k_sensitivity_is_table_only,PASS,appendix diagnostic table exists and no formal figure exists,"{'table_exists': True, 'figure_exists': False}"
candidate_window_sensitivity_is_table_only,PASS,appendix diagnostic table exists and no formal figure exists,"{'table_exists': True, 'figure_exists': False}"
em_assignment_diagnostic_is_table_only,PASS,appendix diagnostic table exists and no formal figure exists,"{'table_exists': True, 'figure_exists': False}"
em_diagnostic_is_table_only,PASS,EM diagnostic table exists and no formal figure exists,"{'table_exists': True, 'figure_exists': False}"
no_deprecated_or_redundant_figures,PASS,no replay or redundant appendix figures,[]
no_old_figure_ids_in_formal_latex_interface,PASS,formal interface excludes old appendix figure ids,"['fig_exp2_main_replay', 'fig_exp2_delay_coupling_control', 'fig_exp2_label_availability', 'fig_app_exp2_source_linked_audit', 'fig_app_exp2_top_k_sensitivity', 'fig_app_exp2_candidate_window_sensitivity', 'fig_app_exp2_em_assignment_diagnostic']"
docs_present_and_updated,PASS,required docs exist and state Exp2 interpretation boundary,"{'docs/metric_specification.md': {'exists': True, 'has_required_text': True}, 'docs/output_contract.md': {'exists': True, 'has_required_text': True}, 'docs/latex_interface_experiments.md': {'exists': True, 'has_required_text': True}, 'docs/experiment_refactor_completion_report.md': {'exists': True, 'has_required_text': True}}"
figure_table_repair_regression,PASS,clean run is not-applicable or explicit display-only replot preserves core SHA256,"{'not_applicable_clean_run': True, 'comparison_performed': False, 'same_file_set': True, 'same_sha256_for_every_core_file': True, 'figure_table_repair_regression_passed': True, 'n_core_files_before': 0, 'n_core_files_after': 30, 'changed_or_missing_files': []}"
